entry_ts,exit_ts,dir,entry,exit,type,pnl,month
2025-12-13 00:00:00,2025-12-14 23:11:41,SHORT,90268.43,88008.58,TP,2.567761006938185,2025-12
2025-12-14 23:15:00,2025-12-15 02:02:30,SHORT,88055.97,89379.96,SL,-1.4813052053279097,2025-12
2025-12-15 02:46:20,2025-12-15 15:18:44,SHORT,89337.01,87102.89,TP,2.5649206358135723,2025-12
2025-12-15 16:40:00,2025-12-16 13:30:07,SHORT,86369.38,87707.91,SL,-1.5261223303576599,2025-12
2025-12-16 13:35:00,2025-12-16 15:56:02,SHORT,86764.7,88077.99,SL,-1.4910535537879688,2025-12
2025-12-16 18:05:00,2025-12-17 14:53:04,SHORT,87405.23,88728.53,SL,-1.4914030470244533,2025-12
2025-12-17 18:45:00,2025-12-18 09:33:42,SHORT,85910.0,87215.35,SL,-1.496697542347769,2025-12
2025-12-18 20:05:00,2025-12-19 03:07:48,SHORT,85059.99,86351.0,SL,-1.4950724369144464,2025-12
2025-12-22 20:00:00,2025-12-26 02:31:57,SHORT,88052.43,89377.78,SL,-1.482862966612064,2025-12
2025-12-29 12:00:00,2025-12-30 14:53:03,SHORT,87567.66,88887.99,SL,-1.4853862709686694,2025-12
2025-12-31 12:00:00,2025-12-31 16:37:15,LONG,89008.2,87650.55,SL,-1.5253089041234347,2025-12
2026-01-02 01:40:02,2026-01-02 17:15:41,LONG,88595.66,90825.68,TP,2.5170758928823256,2026-01
2026-01-02 17:20:00,2026-01-03 07:27:55,LONG,90810.65,89430.02,SL,-1.520339299410356,2026-01
2026-01-03 08:30:00,2026-01-05 00:01:21,LONG,89745.58,91999.99,TP,2.512001148134546,2026-01
2026-01-05 00:05:00,2026-01-05 17:55:47,LONG,91838.41,94137.99,TP,2.5039414336550436,2026-01
2026-01-05 18:00:00,2026-01-06 16:27:31,LONG,94335.04,92917.33,SL,-1.5028456022279646,2026-01
2026-01-12 06:05:00,2026-01-12 08:37:27,LONG,92080.13,90691.69,SL,-1.5078605992411176,2026-01
2026-01-12 16:05:00,2026-01-13 19:34:09,LONG,91800.0,94095.58,TP,2.5006318082788637,2026-01
2026-01-13 19:35:00,2026-01-13 22:10:44,LONG,93947.18,96350.0,TP,2.557628658997535,2026-01
2026-01-13 22:16:02,2026-01-14 16:48:08,LONG,95300.0,97687.55,TP,2.505299055613852,2026-01
2026-01-14 16:50:00,2026-01-15 03:27:35,LONG,97499.99,96029.51,SL,-1.5081847700702422,2026-01
2026-01-15 03:35:40,2026-01-16 15:32:38,LONG,96084.56,94635.01,SL,-1.5086190746983696,2026-01
2026-01-21 03:15:00,2026-01-21 15:18:14,SHORT,89225.33,90566.0,SL,-1.4803237418015591,2026-01
2026-01-25 04:00:00,2026-01-25 19:20:40,SHORT,88960.36,86688.0,TP,2.621308600959771,2026-01
2026-01-25 19:25:00,2026-01-26 07:18:50,SHORT,86750.07,88055.98,SL,-1.4830452173719366,2026-01
